date,close,volume,open,high,low
7/22/15,211.37,88346410,210.93,211.77,210.89
7/23/15,210.18,90364920,211.53,211.65,209.75
7/24/15,208,117558700,210.3,210.37,207.6
7/27/15,206.79,130669700,206.94,207.55,206.26
7/28/15,209.33,122370300,207.79,209.5,206.8
7/29/15,210.77,104940200,209.48,211.04,209.31
7/30/15,210.82,91218060,210.16,211.02,209.42
7/31/15,210.5,102661200,211.42,211.45,210.16
8/3/15,209.79,113432300,210.46,210.53,208.65
8/4/15,209.38,81526350,209.7,210.2483,208.8
8/5/15,210.07,85589800,210.45,211.31,209.73
8/6/15,208.35,110243400,210.29,210.415,207.65
8/7/15,207.95,117703500,208.16,208.34,206.87
8/10/15,210.57,79681690,209.28,210.67,209.28
8/11/15,208.67,125935000,208.97,209.47,207.76
8/12/15,208.92,171911200,207.11,209.14,205.36
8/13/15,208.66,89169630,208.73,209.55,208.01
8/14/15,209.42,72570710,208.43,209.5087,208.26
8/17/15,210.59,78915420,208.71,210.59,208.16
8/18/15,209.98,71661990,210.26,210.68,209.699
8/19/15,208.32,172781100,209.09,210.01,207.35
8/20/15,203.97,193680300,206.51,208.2865,203.9
8/21/15,197.63,343611100,201.73,203.9404,197.52
8/24/15,189.5,506257800,187.49,197.4772,182.4
8/25/15,187.27,367623500,195.43,195.45,186.92
8/26/15,194.46,338718200,192.08,194.79,188.37
8/27/15,199.27,273700600,197.02,199.42,195.21
8/28/15,199.28,160338700,198.5,199.835,197.92
8/31/15,197.67,160296200,198.11,199.125,197.01
9/1/15,191.77,253561300,193.12,194.77,190.73
9/2/15,195.41,159445200,194.62,195.46,192.42
9/3/15,195.55,151957000,196.26,198.05,194.96
9/4/15,192.59,204620400,192.85,193.86,191.61
9/8/15,197.43,115807000,195.94,197.61,195.17
9/9/15,194.79,147649100,199.32,199.47,194.35
9/10/15,195.85,158318900,194.56,197.22,194.25
9/11/15,196.74,119507200,195.375,196.82,194.53
9/14/15,196.01,79365650,196.95,197.01,195.43
9/15/15,198.46,112339400,196.61,198.99,195.9612
9/16/15,200.18,99206800,198.82,200.41,198.41
9/17/15,199.73,275634900,200.02,202.89,199.28
9/18/15,195.45,222607600,195.71,198.6844,194.96
9/21/15,196.46,105229400,196.44,197.68,195.21
9/22/15,193.91,153492000,193.88,194.46,192.56
9/23/15,193.6,92548910,194.11,194.67,192.91
9/24/15,192.9,158490600,192.15,193.45,190.56
9/25/15,192.85,154595000,194.64,195,191.81
9/28/15,188.01,176317600,191.78,191.91,187.64
9/29/15,188.12,158394800,188.27,189.74,186.93
9/30/15,191.63,162862400,190.37,191.825,189.44
10/1/15,192.13,130248900,192.08,192.49,189.82
10/2/15,195,209995600,189.77,195.03,189.12
10/5/15,198.47,125618900,196.46,198.74,196.33
10/6/15,197.79,109924000,198.31,198.98,197
10/7/15,199.41,123927900,198.9,199.825,197.48
10/8/15,201.21,151731000,198.95,201.55,198.59
10/9/15,201.33,106392100,201.38,201.9,200.58
10/12/15,201.52,56154070,201.42,201.76,200.91
10/13/15,200.25,87873100,200.65,202.16,200.05
10/14/15,199.29,98864500,200.18,200.87,198.94
10/15/15,202.35,133837900,200.08,202.36,199.64
10/16/15,203.27,114037700,202.83,203.29,201.92
10/19/15,203.37,76365770,202.5,203.37,202.13
10/20/15,203.09,78214510,202.85,203.84,202.5471
10/21/15,201.85,101841800,203.61,203.79,201.65
10/22/15,205.26,174152100,202.98,205.51,201.85
10/23/15,207.51,144366100,207.25,207.95,206.3
10/26/15,207,68281240,207.3,207.37,206.56
10/27/15,206.6,77709730,206.2,207,205.79
10/28/15,208.95,135620300,207,208.98,206.21
10/29/15,208.83,90191780,208.35,209.27,208.21
10/30/15,207.93,131012600,209.06,209.44,207.74
11/2/15,210.39,86052980,208.32,210.62,208.17
11/3/15,211,95133060,209.97,211.66,209.7
11/4/15,210.36,95668530,211.35,211.5,209.7201
11/5/15,210.15,78166140,210.43,210.98,209.09
11/6/15,210.04,110389000,209.74,210.32,208.46
11/9/15,208.08,130856000,209.31,209.49,206.95
11/10/15,208.56,75769150,207.51,208.6,207.19
11/11/15,207.74,67716950,208.88,208.94,207.66
